Datetime,Buy_Count,Sell_Count,B_S,Position
2021-11-02 13:30:00+00:00,0,0,0,No Signal
2021-11-02 14:30:00+00:00,0,0,0,No Signal
2021-11-02 15:30:00+00:00,0,0,0,No Signal
2021-11-02 16:30:00+00:00,0,0,0,No Signal
2021-11-02 17:30:00+00:00,0,0,0,No Signal
2021-11-02 18:30:00+00:00,0,0,0,No Signal
2021-11-02 19:30:00+00:00,0,0,0,No Signal
2021-11-03 13:30:00+00:00,0,0,0,No Signal
2021-11-03 14:30:00+00:00,0,0,0,No Signal
2021-11-03 15:30:00+00:00,0,0,0,No Signal
2021-11-03 16:30:00+00:00,0,0,0,No Signal
2021-11-03 17:30:00+00:00,0,0,0,No Signal
2021-11-03 18:30:00+00:00,0,0,0,No Signal
2021-11-03 19:30:00+00:00,0,33,-33,Long
2021-11-04 13:30:00+00:00,1,37,-36,No Signal
2021-11-04 14:30:00+00:00,3,25,-22,No Signal
2021-11-04 15:30:00+00:00,3,33,-30,No Signal
2021-11-04 16:30:00+00:00,4,36,-32,No Signal
2021-11-04 17:30:00+00:00,6,35,-29,No Signal
2021-11-04 18:30:00+00:00,5,29,-24,No Signal
2021-11-04 19:30:00+00:00,4,30,-26,No Signal
2021-11-05 13:30:00+00:00,7,49,-42,No Signal
2021-11-05 14:30:00+00:00,8,42,-34,No Signal
2021-11-05 15:30:00+00:00,8,41,-33,No Signal
2021-11-05 16:30:00+00:00,10,32,-22,No Signal
2021-11-05 17:30:00+00:00,6,34,-28,No Signal
2021-11-05 18:30:00+00:00,8,27,-19,No Signal
2021-11-05 19:30:00+00:00,7,25,-18,No Signal
2021-11-08 14:30:00+00:00,12,16,-4,No Signal
2021-11-08 15:30:00+00:00,11,24,-13,No Signal
2021-11-08 16:30:00+00:00,16,21,-5,No Signal
2021-11-08 17:30:00+00:00,12,19,-7,No Signal
2021-11-08 18:30:00+00:00,9,16,-7,No Signal
2021-11-08 19:30:00+00:00,10,16,-6,No Signal
2021-11-08 20:30:00+00:00,12,15,-3,No Signal
2021-11-09 14:30:00+00:00,12,8,4,No Signal
2021-11-09 15:30:00+00:00,16,10,6,No Signal
2021-11-09 16:30:00+00:00,14,10,4,No Signal
2021-11-09 17:30:00+00:00,12,15,-3,No Signal
2021-11-09 18:30:00+00:00,14,12,2,No Signal
2021-11-09 19:30:00+00:00,11,10,1,No Signal
2021-11-09 20:30:00+00:00,12,11,1,No Signal
2021-11-10 14:30:00+00:00,12,11,1,No Signal
2021-11-10 15:30:00+00:00,18,15,3,No Signal
2021-11-10 16:30:00+00:00,17,17,0,No Signal
2021-11-10 17:30:00+00:00,27,13,14,No Signal
2021-11-10 18:30:00+00:00,35,12,23,Short
2021-11-10 19:30:00+00:00,33,8,25,No Signal
2021-11-10 20:30:00+00:00,35,6,29,No Signal
2021-11-11 14:30:00+00:00,17,5,12,No Signal
2021-11-11 15:30:00+00:00,19,8,11,No Signal
2021-11-11 16:30:00+00:00,21,6,15,No Signal
2021-11-11 17:30:00+00:00,21,7,14,No Signal
2021-11-11 18:30:00+00:00,19,8,11,No Signal
2021-11-11 19:30:00+00:00,24,8,16,No Signal
2021-11-11 20:30:00+00:00,26,6,20,No Signal
2021-11-12 14:30:00+00:00,21,8,13,No Signal
2021-11-12 15:30:00+00:00,10,15,-5,No Signal
2021-11-12 16:30:00+00:00,10,17,-7,No Signal
2021-11-12 17:30:00+00:00,10,26,-16,No Signal
2021-11-12 18:30:00+00:00,11,38,-27,Long
2021-11-12 19:30:00+00:00,9,40,-31,No Signal
2021-11-12 20:30:00+00:00,7,38,-31,No Signal
2021-11-15 14:30:00+00:00,6,28,-22,No Signal
2021-11-15 15:30:00+00:00,6,25,-19,No Signal
2021-11-15 16:30:00+00:00,5,14,-9,No Signal
2021-11-15 17:30:00+00:00,5,23,-18,No Signal
2021-11-15 18:30:00+00:00,5,19,-14,No Signal
2021-11-15 19:30:00+00:00,5,25,-20,No Signal
2021-11-15 20:30:00+00:00,4,27,-23,No Signal
2021-11-16 14:30:00+00:00,4,22,-18,No Signal
2021-11-16 15:30:00+00:00,6,19,-13,No Signal
2021-11-16 16:30:00+00:00,5,16,-11,No Signal
2021-11-16 17:30:00+00:00,7,16,-9,No Signal
2021-11-16 18:30:00+00:00,6,15,-9,No Signal
2021-11-16 19:30:00+00:00,6,14,-8,No Signal
2021-11-16 20:30:00+00:00,6,17,-11,No Signal
2021-11-17 14:30:00+00:00,10,14,-4,No Signal
2021-11-17 15:30:00+00:00,10,14,-4,No Signal
2021-11-17 16:30:00+00:00,10,20,-10,No Signal
2021-11-17 17:30:00+00:00,10,23,-13,No Signal
2021-11-17 18:30:00+00:00,11,21,-10,No Signal
2021-11-17 19:30:00+00:00,8,17,-9,No Signal
2021-11-17 20:30:00+00:00,10,14,-4,No Signal
2021-11-18 14:30:00+00:00,19,9,10,No Signal
2021-11-18 15:30:00+00:00,20,11,9,No Signal
2021-11-18 16:30:00+00:00,13,14,-1,No Signal
2021-11-18 17:30:00+00:00,15,14,1,No Signal
2021-11-18 18:30:00+00:00,15,6,9,No Signal
2021-11-18 19:30:00+00:00,14,7,7,No Signal
2021-11-18 20:30:00+00:00,12,8,4,No Signal
2021-11-19 14:30:00+00:00,15,15,0,No Signal
2021-11-19 15:30:00+00:00,13,15,-2,No Signal
2021-11-19 16:30:00+00:00,13,23,-10,No Signal
2021-11-19 17:30:00+00:00,18,16,2,No Signal
2021-11-19 18:30:00+00:00,16,16,0,No Signal
2021-11-19 19:30:00+00:00,19,15,4,No Signal
2021-11-19 20:30:00+00:00,19,16,3,No Signal
2021-11-22 14:30:00+00:00,14,33,-19,No Signal
2021-11-22 15:30:00+00:00,26,22,4,No Signal
2021-11-22 16:30:00+00:00,24,14,10,No Signal
2021-11-22 17:30:00+00:00,24,13,11,No Signal
2021-11-22 18:30:00+00:00,24,9,15,No Signal
2021-11-22 19:30:00+00:00,23,12,11,No Signal
2021-11-22 20:30:00+00:00,29,7,22,Short
2021-11-23 14:30:00+00:00,35,6,29,No Signal
2021-11-23 15:30:00+00:00,39,9,30,No Signal
2021-11-23 16:30:00+00:00,37,6,31,No Signal
2021-11-23 17:30:00+00:00,37,7,30,No Signal
2021-11-23 18:30:00+00:00,33,6,27,No Signal
2021-11-23 19:30:00+00:00,32,6,26,No Signal
2021-11-23 20:30:00+00:00,24,8,16,No Signal
2021-11-24 14:30:00+00:00,32,1,31,No Signal
2021-11-24 15:30:00+00:00,18,0,18,No Signal
2021-11-24 16:30:00+00:00,15,1,14,No Signal
2021-11-24 17:30:00+00:00,12,2,10,No Signal
2021-11-24 18:30:00+00:00,15,1,14,No Signal
2021-11-24 19:30:00+00:00,11,2,9,No Signal
2021-11-24 20:30:00+00:00,5,7,-2,No Signal
2021-11-26 14:30:00+00:00,8,11,-3,No Signal
2021-11-26 15:30:00+00:00,19,5,14,No Signal
2021-11-26 16:30:00+00:00,15,6,9,No Signal
