Date_Time,Buy_Count,Sell_Count,B_S,Position,Close
2021-11-02 13:30:00+00:00,0,0,0,No Signal,15959.21777
2021-11-02 14:30:00+00:00,0,0,0,No Signal,15965.52832
2021-11-02 15:30:00+00:00,0,0,0,No Signal,15951.66211
2021-11-02 16:30:00+00:00,0,0,0,No Signal,15945.34473
2021-11-02 17:30:00+00:00,0,0,0,No Signal,15931.26953
2021-11-02 18:30:00+00:00,0,0,0,No Signal,15964.7168
2021-11-02 19:30:00+00:00,0,0,0,No Signal,15973.69922
2021-11-03 13:30:00+00:00,0,0,0,No Signal,15969.1875
2021-11-03 14:30:00+00:00,0,0,0,No Signal,15974.48047
2021-11-03 15:30:00+00:00,0,0,0,No Signal,15990.89844
2021-11-03 16:30:00+00:00,0,0,0,No Signal,15990.54688
2021-11-03 17:30:00+00:00,0,0,0,No Signal,16026.00684
2021-11-03 18:30:00+00:00,0,0,0,No Signal,16110.43848
2021-11-03 19:30:00+00:00,0,33,-33,Short,16143.13379
2021-11-04 13:30:00+00:00,1,37,-36,No Signal,16306.80371
2021-11-04 14:30:00+00:00,3,25,-22,No Signal,16260.12988
2021-11-04 15:30:00+00:00,3,33,-30,No Signal,16314.11328
2021-11-04 16:30:00+00:00,4,36,-32,No Signal,16326.50586
2021-11-04 17:30:00+00:00,6,35,-29,No Signal,16369.1416
2021-11-04 18:30:00+00:00,5,29,-24,No Signal,16340.07715
2021-11-04 19:30:00+00:00,4,30,-26,No Signal,16347.30957
2021-11-05 13:30:00+00:00,7,49,-42,No Signal,16427.9707
2021-11-05 14:30:00+00:00,8,42,-34,No Signal,16417.9082
2021-11-05 15:30:00+00:00,8,41,-33,No Signal,16427.62109
2021-11-05 16:30:00+00:00,10,32,-22,No Signal,16304.61035
2021-11-05 17:30:00+00:00,6,34,-28,No Signal,16370.90723
2021-11-05 18:30:00+00:00,8,27,-19,No Signal,16353.1084
2021-11-05 19:30:00+00:00,7,25,-18,No Signal,16354.69824
2021-11-08 14:30:00+00:00,12,16,-4,No Signal,16351.02246
2021-11-08 15:30:00+00:00,11,24,-13,No Signal,16370.75684
2021-11-08 16:30:00+00:00,16,21,-5,No Signal,16336.01563
2021-11-08 17:30:00+00:00,12,19,-7,No Signal,16370.66504
2021-11-08 18:30:00+00:00,9,16,-7,No Signal,16352.04688
2021-11-08 19:30:00+00:00,10,16,-6,No Signal,16359.40918
2021-11-08 20:30:00+00:00,12,15,-3,No Signal,16334.94043
2021-11-09 14:30:00+00:00,12,8,4,No Signal,16248.27734
2021-11-09 15:30:00+00:00,16,10,6,No Signal,16244.32227
2021-11-09 16:30:00+00:00,14,10,4,No Signal,16215.69336
2021-11-09 17:30:00+00:00,12,15,-3,No Signal,16200.28613
2021-11-09 18:30:00+00:00,14,12,2,No Signal,16219.17676
2021-11-09 19:30:00+00:00,11,10,1,No Signal,16201.12207
2021-11-09 20:30:00+00:00,12,11,1,No Signal,16222.00488
2021-11-10 14:30:00+00:00,12,11,1,No Signal,16187.74902
2021-11-10 15:30:00+00:00,18,15,3,No Signal,16156.15137
2021-11-10 16:30:00+00:00,17,17,0,No Signal,16129.98242
2021-11-10 17:30:00+00:00,27,13,14,No Signal,16061.67676
2021-11-10 18:30:00+00:00,35,12,23,Long,15944.99609
2021-11-10 19:30:00+00:00,33,8,25,No Signal,15988.82129
2021-11-10 20:30:00+00:00,35,6,29,No Signal,15984.09375
2021-11-11 14:30:00+00:00,17,5,12,No Signal,16058.29883
2021-11-11 15:30:00+00:00,19,8,11,No Signal,16079.47949
2021-11-11 16:30:00+00:00,21,6,15,No Signal,16047.74414
2021-11-11 17:30:00+00:00,21,7,14,No Signal,16050.94727
2021-11-11 18:30:00+00:00,19,8,11,No Signal,16067.375
2021-11-11 19:30:00+00:00,24,8,16,No Signal,16038.39941
2021-11-11 20:30:00+00:00,26,6,20,No Signal,16031.52734
2021-11-12 14:30:00+00:00,21,8,13,No Signal,16070.62207
2021-11-12 15:30:00+00:00,10,15,-5,No Signal,16186.36719
2021-11-12 16:30:00+00:00,10,17,-7,No Signal,16194.83008
2021-11-12 17:30:00+00:00,10,26,-16,No Signal,16182.86035
2021-11-12 18:30:00+00:00,11,38,-27,Short,16177.75391
2021-11-12 19:30:00+00:00,9,40,-31,No Signal,16202.29297
2021-11-12 20:30:00+00:00,7,38,-31,No Signal,16200.82813
2021-11-15 14:30:00+00:00,6,28,-22,No Signal,16168.91895
2021-11-15 15:30:00+00:00,6,25,-19,No Signal,16170.65527
2021-11-15 16:30:00+00:00,5,14,-9,No Signal,16111.72754
2021-11-15 17:30:00+00:00,5,23,-18,No Signal,16152.33301
2021-11-15 18:30:00+00:00,5,19,-14,No Signal,16139.72949
2021-11-15 19:30:00+00:00,5,25,-20,No Signal,16198.07324
2021-11-15 20:30:00+00:00,4,27,-23,No Signal,16192.82031
2021-11-16 14:30:00+00:00,4,22,-18,No Signal,16208.94336
2021-11-16 15:30:00+00:00,6,19,-13,No Signal,16301.59863
2021-11-16 16:30:00+00:00,5,16,-11,No Signal,16296.5957
2021-11-16 17:30:00+00:00,7,16,-9,No Signal,16296.85352
2021-11-16 18:30:00+00:00,6,15,-9,No Signal,16319.1416
2021-11-16 19:30:00+00:00,6,14,-8,No Signal,16310.52734
2021-11-16 20:30:00+00:00,6,17,-11,No Signal,16308.27832
2021-11-17 14:30:00+00:00,10,14,-4,No Signal,16318.02051
2021-11-17 15:30:00+00:00,10,14,-4,No Signal,16357.11133
2021-11-17 16:30:00+00:00,10,20,-10,No Signal,16314.14551
2021-11-17 17:30:00+00:00,10,23,-13,No Signal,16329.83887
2021-11-17 18:30:00+00:00,11,21,-10,No Signal,16339.03223
2021-11-17 19:30:00+00:00,8,17,-9,No Signal,16314.90234
2021-11-17 20:30:00+00:00,10,14,-4,No Signal,16307.32227
2021-11-18 14:30:00+00:00,19,9,10,No Signal,16335.31152
2021-11-18 15:30:00+00:00,20,11,9,No Signal,16390.73828
2021-11-18 16:30:00+00:00,13,14,-1,No Signal,16488.94336
2021-11-18 17:30:00+00:00,15,14,1,No Signal,16442.70703
2021-11-18 18:30:00+00:00,15,6,9,No Signal,16427.49219
2021-11-18 19:30:00+00:00,14,7,7,No Signal,16473.83008
2021-11-18 20:30:00+00:00,12,8,4,No Signal,16483.95898
2021-11-19 14:30:00+00:00,15,15,0,No Signal,16555.00781
2021-11-19 15:30:00+00:00,13,15,-2,No Signal,16606.06836
2021-11-19 16:30:00+00:00,13,23,-10,No Signal,16609.21875
2021-11-19 17:30:00+00:00,18,16,2,No Signal,16559.19531
2021-11-19 18:30:00+00:00,16,16,0,No Signal,16580.9707
2021-11-19 19:30:00+00:00,19,15,4,No Signal,16578.41602
2021-11-19 20:30:00+00:00,19,16,3,No Signal,16574.46094
2021-11-22 14:30:00+00:00,14,33,-19,No Signal,16738.43164
2021-11-22 15:30:00+00:00,26,22,4,No Signal,16612.07227
2021-11-22 16:30:00+00:00,24,14,10,No Signal,16509.0918
2021-11-22 17:30:00+00:00,24,13,11,No Signal,16541.74414
2021-11-22 18:30:00+00:00,24,9,15,No Signal,16534.91406
2021-11-22 19:30:00+00:00,23,12,11,No Signal,16550.97656
2021-11-22 20:30:00+00:00,29,7,22,Long,16377.41309
2021-11-23 14:30:00+00:00,35,6,29,No Signal,16246.10449
2021-11-23 15:30:00+00:00,39,9,30,No Signal,16249.18848
2021-11-23 16:30:00+00:00,37,6,31,No Signal,16223.28125
2021-11-23 17:30:00+00:00,37,7,30,No Signal,16152.45313
2021-11-23 18:30:00+00:00,33,6,27,No Signal,16167.3252
2021-11-23 19:30:00+00:00,32,6,26,No Signal,16248.47656
2021-11-23 20:30:00+00:00,24,8,16,No Signal,16310.97656
2021-11-24 14:30:00+00:00,32,1,31,No Signal,16251.68066
2021-11-24 15:30:00+00:00,18,0,18,No Signal,16317.58984
2021-11-24 16:30:00+00:00,15,1,14,No Signal,16285.13379
2021-11-24 17:30:00+00:00,12,2,10,No Signal,16327.60254
2021-11-24 18:30:00+00:00,15,1,14,No Signal,16284.21191
2021-11-24 19:30:00+00:00,11,2,9,No Signal,16357.94238
2021-11-24 20:30:00+00:00,5,7,-2,No Signal,16370.56055
2021-11-26 14:30:00+00:00,8,11,-3,No Signal,16175.6543
2021-11-26 15:30:00+00:00,19,5,14,No Signal,16075.91895
2021-11-26 16:30:00+00:00,15,6,9,No Signal,16120.62793
2021-11-29 14:30:00+00:00,8,6,2,No Signal,16270.20117
2021-11-29 15:30:00+00:00,8,8,0,No Signal,16293.58594
2021-11-29 16:30:00+00:00,7,9,-2,No Signal,16385.58008
2021-11-29 17:30:00+00:00,5,9,-4,No Signal,16402.47852
2021-11-29 18:30:00+00:00,8,12,-4,No Signal,16399.73438
2021-11-29 19:30:00+00:00,9,13,-4,No Signal,16419.78711
2021-11-29 20:30:00+00:00,8,10,-2,No Signal,16396.05078
2021-11-30 14:30:00+00:00,16,8,8,No Signal,16413.09961
2021-11-30 15:30:00+00:00,18,1,17,No Signal,16174.84375
2021-11-30 16:30:00+00:00,26,1,25,No Signal,16140.21973
2021-11-30 17:30:00+00:00,26,1,25,No Signal,16134.16406
2021-11-30 18:30:00+00:00,12,3,9,No Signal,16199.70605
2021-11-30 19:30:00+00:00,12,5,7,No Signal,16122.41797
2021-11-30 20:30:00+00:00,22,4,18,No Signal,16143.68359
2021-12-01 14:30:00+00:00,18,8,10,No Signal,16315.34863
2021-12-01 15:30:00+00:00,17,10,7,No Signal,16410.79297
2021-12-01 16:30:00+00:00,22,6,16,No Signal,16330.67969
2021-12-01 17:30:00+00:00,27,2,25,No Signal,16252.78223
2021-12-01 18:30:00+00:00,29,2,27,No Signal,16187.3418
2021-12-01 19:30:00+00:00,47,0,47,No Signal,15986.75586
2021-12-01 20:30:00+00:00,50,1,49,No Signal,15864.43555
2021-12-02 14:30:00+00:00,27,0,27,No Signal,15908.79297
2021-12-02 15:30:00+00:00,18,1,17,No Signal,15961.29492
2021-12-02 16:30:00+00:00,11,1,10,No Signal,16048.90918
2021-12-02 17:30:00+00:00,14,1,13,No Signal,15946.33594
2021-12-02 18:30:00+00:00,11,1,10,No Signal,16020.78223
2021-12-02 19:30:00+00:00,10,1,9,No Signal,15992.03809
2021-12-02 20:30:00+00:00,12,1,11,No Signal,15991.30176
2021-12-03 14:30:00+00:00,32,1,31,No Signal,15810.24805
2021-12-03 15:30:00+00:00,39,1,38,No Signal,15711.42383
2021-12-03 16:30:00+00:00,35,1,34,No Signal,15647.25879
2021-12-03 17:30:00+00:00,30,1,29,No Signal,15650.62793
2021-12-03 18:30:00+00:00,29,2,27,No Signal,15622.05176
2021-12-03 19:30:00+00:00,25,4,21,No Signal,15613.79102
2021-12-03 20:30:00+00:00,14,16,-2,No Signal,15715.91016
2021-12-06 14:30:00+00:00,17,16,1,No Signal,15763.28613
2021-12-06 15:30:00+00:00,22,13,9,No Signal,15708.06934
2021-12-06 16:30:00+00:00,22,11,11,No Signal,15783.54199
2021-12-06 17:30:00+00:00,12,16,-4,No Signal,15871.79688
2021-12-06 18:30:00+00:00,15,11,4,No Signal,15885.18848
2021-12-06 19:30:00+00:00,14,12,2,No Signal,15855.58105
2021-12-06 20:30:00+00:00,15,11,4,No Signal,15843.23633
2021-12-07 14:30:00+00:00,1,39,-38,Short,16238.51758
