Date,Signal
2021-12-27 16:30:00+00:00,Short
2021-12-28 17:30:00+00:00,Long
2021-12-28 18:30:00+00:00,Short
2021-12-28 19:30:00+00:00,Long
2021-12-29 16:30:00+00:00,Short
2021-12-29 20:30:00+00:00,Long
2021-12-31 19:30:00+00:00,Short
2022-01-04 15:30:00+00:00,Long
2022-01-06 18:30:00+00:00,Short
2022-01-07 14:30:00+00:00,Long
2022-01-07 18:30:00+00:00,Short
2022-01-10 16:30:00+00:00,Long
2022-01-10 19:30:00+00:00,Short
2022-01-12 17:30:00+00:00,Long
2022-01-20 15:30:00+00:00,Short
2022-01-20 16:30:00+00:00,Long
2022-01-24 20:30:00+00:00,Short
2022-01-25 15:30:00+00:00,Long
2022-01-26 18:30:00+00:00,Short
2022-01-27 17:30:00+00:00,Long
2022-02-10 19:30:00+00:00,Short
2022-02-11 17:30:00+00:00,Long
2022-02-11 18:30:00+00:00,Short
2022-02-14 15:30:00+00:00,Long
2022-02-15 17:30:00+00:00,Short
2022-02-16 16:30:00+00:00,Long
2022-02-16 17:30:00+00:00,Short
2022-02-23 18:30:00+00:00,Long
2022-02-23 20:30:00+00:00,Short
2022-02-24 16:30:00+00:00,Long
2022-02-25 17:30:00+00:00,Short
2022-03-01 15:30:00+00:00,Long
2022-03-02 14:30:00+00:00,Short
2022-03-02 16:30:00+00:00,Long
2022-03-04 14:30:00+00:00,Short
2022-03-04 17:30:00+00:00,Long
2022-03-08 17:30:00+00:00,Short
2022-03-08 18:30:00+00:00,Long
2022-03-10 16:30:00+00:00,Short
2022-03-11 15:30:00+00:00,Long
2022-03-11 16:30:00+00:00,Short
2022-03-11 19:30:00+00:00,Long
2022-03-14 15:30:00+00:00,Short
2022-03-18 13:30:00+00:00,Long
2022-03-18 18:30:00+00:00,Short
2022-03-21 16:30:00+00:00,Long
2022-03-22 15:30:00+00:00,Short
2022-03-25 15:30:00+00:00,Long
2022-03-25 18:30:00+00:00,Short
2022-04-06 20:30:00+01:00,Long
2022-04-07 16:30:00+01:00,Short
2022-04-08 15:30:00+01:00,Long
2022-04-08 16:30:00+01:00,Short
2022-04-11 17:30:00+01:00,Long
2022-04-12 19:30:00+01:00,Short
2022-04-14 17:30:00+01:00,Long
2022-05-17 18:30:00+01:00,Short
2022-05-18 15:30:00+01:00,Long
2022-05-19 17:30:00+01:00,Short
2022-05-24 20:30:00+01:00,Long
2022-05-25 14:30:00+01:00,Short
2022-05-25 15:30:00+01:00,Long
2022-05-25 18:30:00+01:00,Short
2022-06-13 14:30:00+01:00,Long
2022-06-14 20:30:00+01:00,Short
2022-06-15 14:30:00+01:00,Long
2022-06-15 15:30:00+01:00,Short
2022-06-15 18:30:00+01:00,Long
2022-06-15 20:30:00+01:00,Short
2022-06-16 15:30:00+01:00,Long
2022-06-21 15:30:00+01:00,Short
2022-06-21 16:30:00+01:00,Long
2022-06-22 20:30:00+01:00,Short
2022-06-23 14:30:00+01:00,Long
2022-06-23 15:30:00+01:00,Short
2022-06-23 18:30:00+01:00,Long
2022-06-24 15:30:00+01:00,Short
2022-06-24 17:30:00+01:00,Long
2022-06-28 16:30:00+01:00,Short
2022-06-28 19:30:00+01:00,Long
2022-06-30 15:30:00+01:00,Short
2022-06-30 19:30:00+01:00,Long
2022-07-01 17:30:00+01:00,Short
2022-07-01 18:30:00+01:00,Long
2022-07-05 19:30:00+01:00,Short
2022-07-14 16:30:00+01:00,Long
2022-07-14 20:30:00+01:00,Short
2022-07-15 20:30:00+01:00,Long
2022-07-18 20:30:00+01:00,Short
2022-07-22 19:30:00+01:00,Long
2022-07-22 20:30:00+01:00,Short
2022-07-26 19:30:00+01:00,Long
2022-07-26 20:30:00+01:00,Short
2022-07-27 19:30:00+01:00,Long
2022-07-27 20:30:00+01:00,Short
2022-07-28 14:30:00+01:00,Long
2022-07-28 15:30:00+01:00,Short
2022-07-28 19:30:00+01:00,Long
2022-07-28 20:30:00+01:00,Short
2022-08-01 17:30:00+01:00,Long
2022-08-02 14:30:00+01:00,Short
2022-08-02 18:30:00+01:00,Long
2022-08-03 16:30:00+01:00,Short
2022-08-08 19:30:00+01:00,Long
2022-08-11 19:30:00+01:00,Short
2022-08-15 15:30:00+01:00,Long
2022-08-15 19:30:00+01:00,Short
2022-08-23 16:30:00+01:00,Long
2022-08-24 18:30:00+01:00,Short
2022-08-25 16:30:00+01:00,Long
2022-09-01 18:30:00+01:00,Short
2022-09-01 19:30:00+01:00,Long
2022-09-12 19:30:00+01:00,Short
2022-09-12 20:30:00+01:00,Long
2022-09-20 20:30:00+01:00,Short
2022-09-21 17:30:00+01:00,Long
2022-09-22 19:30:00+01:00,Short
2022-09-23 20:30:00+01:00,Long
2022-09-28 19:30:00+01:00,Short
2022-09-29 17:30:00+01:00,Long
2022-10-05 19:30:00+01:00,Short
2022-10-10 14:30:00+01:00,Long
2022-10-10 16:30:00+01:00,Short
2022-10-12 18:30:00+01:00,Long
2022-10-13 15:30:00+01:00,Short
2022-10-24 20:30:00+01:00,Long
2022-10-26 14:30:00+01:00,Short
2022-11-15 19:30:00+00:00,Long
2022-11-16 16:30:00+00:00,Short
2022-11-17 17:30:00+00:00,Long
2022-11-17 18:30:00+00:00,Short
2022-11-21 19:30:00+00:00,Long
2022-11-22 17:30:00+00:00,Short
2022-11-30 19:30:00+00:00,Long
2022-11-30 20:30:00+00:00,Short
2022-12-02 16:30:00+00:00,Long
2022-12-02 19:30:00+00:00,Short
2022-12-05 19:30:00+00:00,Long
2022-12-06 19:30:00+00:00,Short
2022-12-07 14:30:00+00:00,Long
2022-12-16 18:30:00+00:00,Short
2022-12-16 20:30:00+00:00,Long
2023-01-06 19:30:00+00:00,Short
2023-01-13 15:30:00+00:00,Long
2023-01-13 19:30:00+00:00,Short
2023-01-18 19:30:00+00:00,Long
2023-01-19 14:30:00+00:00,Short
2023-01-20 18:30:00+00:00,Long
2023-01-23 16:30:00+00:00,Short
2023-01-25 19:30:00+00:00,Long
2023-01-26 14:30:00+00:00,Short
2023-01-30 14:30:00+00:00,Long
2023-01-30 20:30:00+00:00,Short
2023-01-31 14:30:00+00:00,Long
2023-01-31 18:30:00+00:00,Short
2023-02-01 17:30:00+00:00,Long
2023-02-02 15:30:00+00:00,Short
2023-02-07 16:30:00+00:00,Long
2023-02-15 14:30:00+00:00,Short
2023-02-21 18:30:00+00:00,Long
2023-02-22 15:30:00+00:00,Short
2023-02-22 16:30:00+00:00,Long
2023-02-23 17:30:00+00:00,Short
2023-02-23 20:30:00+00:00,Long
2023-03-01 18:30:00+00:00,Short
2023-03-01 20:30:00+00:00,Long
2023-03-14 14:30:00+00:00,Short
2023-03-14 17:30:00+00:00,Long
2023-03-16 16:30:00+00:00,Short
2023-03-17 15:30:00+00:00,Long
2023-03-20 16:30:00+00:00,Short
2023-03-20 18:30:00+00:00,Long
2023-03-21 13:30:00+00:00,Short
2023-03-23 14:30:00+00:00,Long
2023-03-23 15:30:00+00:00,Short
2023-03-24 15:30:00+00:00,Long
2023-03-24 18:30:00+00:00,Short
2023-03-30 14:30:00+01:00,Long
2023-03-30 16:30:00+01:00,Short
2023-04-14 15:30:00+01:00,Long
2023-04-14 18:30:00+01:00,Short
2023-04-17 16:30:00+01:00,Long
2023-04-17 17:30:00+01:00,Short
2023-04-18 15:30:00+01:00,Long
2023-04-18 17:30:00+01:00,Short
2023-04-19 19:30:00+01:00,Long
2023-04-20 20:30:00+01:00,Short
2023-04-21 18:30:00+01:00,Long
2023-04-24 17:30:00+01:00,Short
2023-04-24 20:30:00+01:00,Long
2023-04-26 16:30:00+01:00,Short
2023-04-26 18:30:00+01:00,Long
2023-04-28 16:30:00+01:00,Short
2023-04-28 19:30:00+01:00,Long
2023-05-04 14:30:00+01:00,Short
2023-05-04 15:30:00+01:00,Long
2023-05-05 20:30:00+01:00,Short
2023-05-08 18:30:00+01:00,Long
2023-05-15 14:30:00+01:00,Short
2023-05-16 15:30:00+01:00,Long
2023-05-17 16:30:00+01:00,Short
2023-05-18 14:30:00+01:00,Long
2023-05-18 16:30:00+01:00,Short
2023-05-18 19:30:00+01:00,Long
2023-05-18 20:30:00+01:00,Short
2023-05-19 17:30:00+01:00,Long
2023-05-19 19:30:00+01:00,Short
2023-05-24 20:30:00+01:00,Long
2023-05-26 15:30:00+01:00,Short
2023-05-30 15:30:00+01:00,Long
2023-05-30 19:30:00+01:00,Short
2023-06-01 14:30:00+01:00,Long
2023-06-02 16:30:00+01:00,Short
2023-06-06 15:30:00+01:00,Long
2023-06-07 16:30:00+01:00,Short
2023-06-07 17:30:00+01:00,Long
2023-06-08 16:30:00+01:00,Short
2023-06-08 18:30:00+01:00,Long
2023-06-09 15:30:00+01:00,Short
2023-06-14 18:30:00+01:00,Long
2023-06-15 14:30:00+01:00,Short
2023-06-16 15:30:00+01:00,Long
2023-06-16 16:30:00+01:00,Short
2023-06-21 20:30:00+01:00,Long
2023-06-22 16:30:00+01:00,Short
2023-06-27 20:30:00+01:00,Long
2023-06-28 16:30:00+01:00,Short
2023-06-28 19:30:00+01:00,Long
2023-06-29 14:30:00+01:00,Short
2023-06-30 15:30:00+01:00,Long
2023-06-30 17:30:00+01:00,Short
2023-06-30 18:30:00+01:00,Long
2023-07-06 19:30:00+01:00,Short
2023-07-10 16:30:00+01:00,Long
2023-07-13 19:30:00+01:00,Short
2023-07-24 14:30:00+01:00,Long
2023-07-25 16:30:00+01:00,Short
2023-07-31 15:30:00+01:00,Long
2023-07-31 16:30:00+01:00,Short
2023-08-03 14:30:00+01:00,Long
2023-08-08 15:30:00+01:00,Short
2023-08-08 17:30:00+01:00,Long
2023-08-11 15:30:00+01:00,Short
2023-08-11 18:30:00+01:00,Long
2023-08-31 14:30:00+01:00,Short
2023-09-05 15:30:00+01:00,Long
2023-09-05 16:30:00+01:00,Short
2023-09-06 20:30:00+01:00,Long
2023-09-07 14:30:00+01:00,Short
2023-09-12 14:30:00+01:00,Long
2023-09-12 16:30:00+01:00,Short
2023-09-13 19:30:00+01:00,Long
2023-09-14 16:30:00+01:00,Short
2023-09-18 18:30:00+01:00,Long
2023-09-18 19:30:00+01:00,Short
2023-09-20 20:30:00+01:00,Long
2023-09-22 20:30:00+01:00,Short
2023-09-25 17:30:00+01:00,Long
2023-09-26 16:30:00+01:00,Short
2023-09-26 20:30:00+01:00,Long
2023-09-29 17:30:00+01:00,Short
2023-09-29 18:30:00+01:00,Long
2023-10-02 19:30:00+01:00,Short
2023-10-03 14:30:00+01:00,Long
2023-10-11 17:30:00+01:00,Short
2023-10-25 14:30:00+01:00,Long
2023-10-26 20:30:00+01:00,Short
2023-10-27 15:30:00+01:00,Long
2023-10-31 18:30:00+00:00,Short
2023-11-06 18:30:00+00:00,Long
2023-11-07 14:30:00+00:00,Short
2023-11-08 18:30:00+00:00,Long
2023-11-08 20:30:00+00:00,Short
2023-11-09 19:30:00+00:00,Long
2023-11-10 17:30:00+00:00,Short
2023-11-27 16:30:00+00:00,Long
2023-11-27 17:30:00+00:00,Short
2023-11-27 19:30:00+00:00,Long
2023-11-27 20:30:00+00:00,Short
2023-12-12 15:30:00+00:00,Long
2023-12-12 17:30:00+00:00,Short
2023-12-13 16:30:00+00:00,Long
2023-12-13 17:30:00+00:00,Short
2023-12-14 14:30:00+00:00,Long
2023-12-18 15:30:00+00:00,Short
2023-12-19 17:30:00+00:00,Long
2023-12-26 19:30:00+00:00,Short
2023-12-27 17:30:00+00:00,Long
2023-12-28 18:30:00+00:00,Short
2023-12-29 14:30:00+00:00,Long
2024-01-03 17:30:00+00:00,Short
2024-01-04 14:30:00+00:00,Long
2024-01-05 17:30:00+00:00,Short
2024-01-08 14:30:00+00:00,Long
2024-01-10 19:30:00+00:00,Short
2024-01-11 18:30:00+00:00,Long
2024-01-22 17:30:00+00:00,Short
2024-01-22 18:30:00+00:00,Long
2024-01-22 19:30:00+00:00,Short
2024-01-23 14:30:00+00:00,Long
2024-01-23 18:30:00+00:00,Short
