Datetime,Buy_Count,Sell_Count,Short Position,Long Position,Price,
2021-10-29 14:30:00+01:00,0,0,0,0,15693.59,0
2021-10-29 15:30:00+01:00,0,0,0,0,15746.69,0
2021-10-29 16:30:00+01:00,0,0,0,0,15804.11,0
2021-10-29 17:30:00+01:00,0,0,0,0,15812.09,0
2021-10-29 18:30:00+01:00,0,0,0,0,15778.54,0
2021-10-29 19:30:00+01:00,0,0,0,0,15794.39,0
2021-10-29 20:30:00+01:00,0,0,0,0,15848.17,0
2021-11-01 13:30:00+00:00,0,0,0,0,15830.69,0
2021-11-01 14:30:00+00:00,0,0,0,0,15858.64,0
2021-11-01 15:30:00+00:00,0,0,0,0,15868.33,0
2021-11-01 16:30:00+00:00,0,0,0,0,15848.64,0
2021-11-01 17:30:00+00:00,0,0,0,0,15820.09,0
2021-11-01 18:30:00+00:00,0,0,0,0,15862.59,0
2021-11-01 19:30:00+00:00,3,30,0,27,15907.48,27
2021-11-02 13:30:00+00:00,1,25,0,24,15959.22,24
2021-11-02 14:30:00+00:00,3,24,0,21,15965.53,21
2021-11-02 15:30:00+00:00,2,19,0,17,15951.66,17
2021-11-02 16:30:00+00:00,5,20,0,15,15945.34,15
2021-11-02 17:30:00+00:00,3,21,0,18,15931.27,18
2021-11-02 18:30:00+00:00,2,23,0,21,15964.72,21
2021-11-02 19:30:00+00:00,5,23,0,18,15973.70,18
2021-11-03 13:30:00+00:00,2,23,0,21,15969.19,21
2021-11-03 14:30:00+00:00,3,21,0,18,15974.48,18
2021-11-03 15:30:00+00:00,2,21,0,19,15990.90,19
2021-11-03 16:30:00+00:00,3,27,0,24,15990.55,24
2021-11-03 17:30:00+00:00,4,31,0,27,16026.01,27
2021-11-03 18:30:00+00:00,2,31,0,29,16110.44,29
2021-11-03 19:30:00+00:00,0,32,0,32,16143.13,32
2021-11-04 13:30:00+00:00,1,37,0,36,16306.80,36
2021-11-04 14:30:00+00:00,3,25,0,22,16260.13,22
2021-11-04 15:30:00+00:00,3,33,0,30,16314.11,30
2021-11-04 16:30:00+00:00,4,36,0,32,16326.51,32
2021-11-04 17:30:00+00:00,6,35,0,29,16369.14,29
2021-11-04 18:30:00+00:00,5,29,0,24,16340.08,24
2021-11-04 19:30:00+00:00,4,30,0,26,16347.31,26
2021-11-05 13:30:00+00:00,7,49,0,42,16427.97,42
2021-11-05 14:30:00+00:00,8,42,0,34,16417.91,34
2021-11-05 15:30:00+00:00,8,41,0,33,16427.62,33
2021-11-05 16:30:00+00:00,10,32,0,22,16304.61,22
2021-11-05 17:30:00+00:00,6,34,0,28,16370.91,28
2021-11-05 18:30:00+00:00,8,27,0,19,16353.11,19
2021-11-05 19:30:00+00:00,7,25,0,18,16354.70,18
2021-11-08 14:30:00+00:00,12,16,0,4,16351.02,4
2021-11-08 15:30:00+00:00,11,24,0,13,16370.76,13
2021-11-08 16:30:00+00:00,16,21,0,5,16336.02,5
2021-11-08 17:30:00+00:00,12,19,0,7,16370.67,7
2021-11-08 18:30:00+00:00,9,16,0,7,16352.05,7
2021-11-08 19:30:00+00:00,10,16,0,6,16359.41,6
2021-11-08 20:30:00+00:00,12,15,0,3,16334.94,3
2021-11-09 14:30:00+00:00,12,8,4,0,16248.28,-4
2021-11-09 15:30:00+00:00,16,10,6,0,16244.32,-6
2021-11-09 16:30:00+00:00,14,10,4,0,16215.69,-4
2021-11-09 17:30:00+00:00,12,15,0,3,16200.29,3
2021-11-09 18:30:00+00:00,14,12,2,0,16219.18,-2
2021-11-09 19:30:00+00:00,11,10,1,0,16201.12,-1
2021-11-09 20:30:00+00:00,12,11,1,0,16222.00,-1
2021-11-10 14:30:00+00:00,12,11,1,0,16187.75,-1
2021-11-10 15:30:00+00:00,18,15,3,0,16156.15,-3
2021-11-10 16:30:00+00:00,17,17,0,0,16129.98,0
2021-11-10 17:30:00+00:00,27,13,14,0,16061.68,-14
2021-11-10 18:30:00+00:00,35,12,23,0,15945.00,-23
2021-11-10 19:30:00+00:00,33,8,25,0,15988.82,-25
2021-11-10 20:30:00+00:00,35,6,29,0,15984.09,-29
2021-11-11 14:30:00+00:00,17,5,12,0,16058.30,-12
2021-11-11 15:30:00+00:00,19,8,11,0,16079.48,-11
2021-11-11 16:30:00+00:00,21,6,15,0,16047.74,-15
2021-11-11 17:30:00+00:00,21,7,14,0,16050.95,-14
2021-11-11 18:30:00+00:00,19,8,11,0,16067.38,-11
2021-11-11 19:30:00+00:00,24,8,16,0,16038.40,-16
2021-11-11 20:30:00+00:00,26,6,20,0,16031.53,-20
2021-11-12 14:30:00+00:00,21,8,13,0,16070.62,-13
2021-11-12 15:30:00+00:00,10,15,0,5,16186.37,5
2021-11-12 16:30:00+00:00,10,17,0,7,16194.83,7
2021-11-12 17:30:00+00:00,10,26,0,16,16182.86,16
2021-11-12 18:30:00+00:00,11,38,0,27,16177.75,27
2021-11-12 19:30:00+00:00,9,40,0,31,16202.29,31
2021-11-12 20:30:00+00:00,7,38,0,31,16200.83,31
2021-11-15 14:30:00+00:00,6,28,0,22,16168.92,22
2021-11-15 15:30:00+00:00,6,25,0,19,16170.66,19
2021-11-15 16:30:00+00:00,5,14,0,9,16111.73,9
2021-11-15 17:30:00+00:00,5,23,0,18,16152.33,18
2021-11-15 18:30:00+00:00,5,19,0,14,16139.73,14
2021-11-15 19:30:00+00:00,5,25,0,20,16198.07,20
2021-11-15 20:30:00+00:00,4,27,0,23,16192.82,23
2021-11-16 14:30:00+00:00,4,22,0,18,16208.94,18
2021-11-16 15:30:00+00:00,6,19,0,13,16301.60,13
2021-11-16 16:30:00+00:00,5,16,0,11,16296.60,11
2021-11-16 17:30:00+00:00,7,16,0,9,16296.85,9
2021-11-16 18:30:00+00:00,6,15,0,9,16319.14,9
2021-11-16 19:30:00+00:00,6,14,0,8,16310.53,8
2021-11-16 20:30:00+00:00,6,17,0,11,16308.28,11
2021-11-17 14:30:00+00:00,10,14,0,4,16318.02,4
2021-11-17 15:30:00+00:00,10,14,0,4,16357.11,4
2021-11-17 16:30:00+00:00,10,20,0,10,16314.15,10
2021-11-17 17:30:00+00:00,10,23,0,13,16329.84,13
2021-11-17 18:30:00+00:00,11,21,0,10,16339.03,10
2021-11-17 19:30:00+00:00,8,17,0,9,16314.90,9
2021-11-17 20:30:00+00:00,10,14,0,4,16307.32,4
2021-11-18 14:30:00+00:00,19,9,10,0,16335.31,-10
2021-11-18 15:30:00+00:00,20,11,9,0,16390.74,-9
2021-11-18 16:30:00+00:00,13,14,0,1,16488.94,1
2021-11-18 17:30:00+00:00,15,14,1,0,16442.71,-1
2021-11-18 18:30:00+00:00,15,6,9,0,16427.49,-9
2021-11-18 19:30:00+00:00,14,7,7,0,16473.83,-7
2021-11-18 20:30:00+00:00,12,8,4,0,16483.96,-4
2021-11-19 14:30:00+00:00,15,15,0,0,16555.01,0
2021-11-19 15:30:00+00:00,13,15,0,2,16606.07,2
2021-11-19 16:30:00+00:00,13,23,0,10,16609.22,10
2021-11-19 17:30:00+00:00,18,16,2,0,16559.20,-2
2021-11-19 18:30:00+00:00,16,16,0,0,16580.97,0
2021-11-19 19:30:00+00:00,19,15,4,0,16578.42,-4
2021-11-19 20:30:00+00:00,19,17,2,0,16574.46,-2
2021-11-22 14:30:00+00:00,14,34,0,20,16738.43,20
2021-11-22 15:30:00+00:00,26,23,3,0,16612.07,-3
2021-11-22 16:30:00+00:00,24,15,9,0,16509.09,-9
2021-11-22 17:30:00+00:00,24,13,11,0,16541.74,-11
2021-11-22 18:30:00+00:00,24,9,15,0,16534.91,-15
2021-11-22 19:30:00+00:00,23,12,11,0,16550.98,-11
2021-11-22 20:30:00+00:00,29,7,22,0,16377.41,-22
2021-11-23 14:30:00+00:00,35,6,29,0,16246.10,-29
2021-11-23 15:30:00+00:00,39,9,30,0,16249.19,-30
2021-11-23 16:30:00+00:00,37,6,31,0,16223.28,-31
2021-11-23 17:30:00+00:00,37,7,30,0,16152.45,-30
2021-11-23 18:30:00+00:00,33,6,27,0,16167.33,-27
2021-11-23 19:30:00+00:00,32,6,26,0,16248.48,-26
2021-11-23 20:30:00+00:00,24,8,16,0,16310.98,-16
2021-11-24 14:30:00+00:00,33,1,32,0,16251.68,-32
2021-11-24 15:30:00+00:00,19,0,19,0,16317.59,-19
2021-11-24 16:30:00+00:00,16,1,15,0,16285.13,-15
2021-11-24 17:30:00+00:00,13,2,11,0,16327.60,-11
2021-11-24 18:30:00+00:00,16,1,15,0,16284.21,-15
2021-11-24 19:30:00+00:00,11,2,9,0,16357.94,-9
2021-11-24 20:30:00+00:00,5,7,0,2,16370.56,2
2021-11-26 14:30:00+00:00,8,11,0,3,16175.65,3
2021-11-26 15:30:00+00:00,19,5,14,0,16075.92,-14
2021-11-26 16:30:00+00:00,15,6,9,0,16120.63,-9
2021-11-29 14:30:00+00:00,8,6,2,0,16270.20,-2
2021-11-29 15:30:00+00:00,8,8,0,0,16293.59,0
2021-11-29 16:30:00+00:00,7,9,0,2,16385.58,2
2021-11-29 17:30:00+00:00,5,9,0,4,16402.48,4
2021-11-29 18:30:00+00:00,8,12,0,4,16399.73,4
2021-11-29 19:30:00+00:00,9,13,0,4,16419.79,4
2021-11-29 20:30:00+00:00,8,10,0,2,16396.05,2
2021-11-30 14:30:00+00:00,16,8,8,0,16413.10,-8
2021-11-30 15:30:00+00:00,18,1,17,0,16174.84,-17
2021-11-30 16:30:00+00:00,26,1,25,0,16140.22,-25
2021-11-30 17:30:00+00:00,26,1,25,0,16134.16,-25
2021-11-30 18:30:00+00:00,12,3,9,0,16199.71,-9
2021-11-30 19:30:00+00:00,12,5,7,0,16122.42,-7
2021-11-30 20:30:00+00:00,22,4,18,0,16143.68,-18
2021-12-01 14:30:00+00:00,18,8,10,0,16315.35,-10
2021-12-01 15:30:00+00:00,17,10,7,0,16410.79,-7
2021-12-01 16:30:00+00:00,22,6,16,0,16330.68,-16
2021-12-01 17:30:00+00:00,27,2,25,0,16252.78,-25
2021-12-01 18:30:00+00:00,29,2,27,0,16187.34,-27
2021-12-01 19:30:00+00:00,47,0,47,0,15986.76,-47
2021-12-01 20:30:00+00:00,50,1,49,0,15864.44,-49
2021-12-02 14:30:00+00:00,27,0,27,0,15908.79,-27
2021-12-02 15:30:00+00:00,18,1,17,0,15961.29,-17
2021-12-02 16:30:00+00:00,11,1,10,0,16048.91,-10
2021-12-02 17:30:00+00:00,14,1,13,0,15946.34,-13
2021-12-02 18:30:00+00:00,11,1,10,0,16020.78,-10
2021-12-02 19:30:00+00:00,10,1,9,0,15992.04,-9
2021-12-02 20:30:00+00:00,12,1,11,0,15991.30,-11
2021-12-03 14:30:00+00:00,32,1,31,0,15810.25,-31
2021-12-03 15:30:00+00:00,39,1,38,0,15711.42,-38
2021-12-03 16:30:00+00:00,35,1,34,0,15647.26,-34
2021-12-03 17:30:00+00:00,30,1,29,0,15650.63,-29
2021-12-03 18:30:00+00:00,29,2,27,0,15622.05,-27
2021-12-03 19:30:00+00:00,25,4,21,0,15613.79,-21
2021-12-03 20:30:00+00:00,14,16,0,2,15715.91,2
2021-12-06 14:30:00+00:00,17,16,1,0,15763.29,-1
2021-12-06 15:30:00+00:00,22,13,9,0,15708.07,-9
2021-12-06 16:30:00+00:00,22,11,11,0,15783.54,-11
2021-12-06 17:30:00+00:00,12,16,0,4,15871.80,4
2021-12-06 18:30:00+00:00,15,11,4,0,15885.19,-4
2021-12-06 19:30:00+00:00,14,12,2,0,15855.58,-2
2021-12-06 20:30:00+00:00,15,11,4,0,15843.24,-4
2021-12-07 14:30:00+00:00,1,39,0,38,16238.52,38
2021-12-07 15:30:00+00:00,1,54,0,53,16277.19,53
2021-12-07 16:30:00+00:00,1,57,0,56,16308.92,56
2021-12-07 17:30:00+00:00,1,58,0,57,16314.84,57
2021-12-07 18:30:00+00:00,1,67,0,66,16320.50,66
2021-12-07 19:30:00+00:00,1,62,0,61,16268.64,61
2021-12-07 20:30:00+00:00,1,58,0,57,16324.00,57
2021-12-08 14:30:00+00:00,3,41,0,38,16294.69,38
2021-12-08 15:30:00+00:00,4,54,0,50,16320.82,50
2021-12-08 16:30:00+00:00,4,53,0,49,16307.16,49
2021-12-08 17:30:00+00:00,1,48,0,47,16345.46,47
2021-12-08 18:30:00+00:00,1,42,0,41,16354.76,41
2021-12-08 19:30:00+00:00,1,54,0,53,16372.05,53
2021-12-08 20:30:00+00:00,1,60,0,59,16393.91,59
2021-12-09 14:30:00+00:00,8,13,0,5,16277.93,5
2021-12-09 15:30:00+00:00,9,14,0,5,16335.72,5
2021-12-09 16:30:00+00:00,9,7,2,0,16279.83,-2
2021-12-09 17:30:00+00:00,9,5,4,0,16270.90,-4
2021-12-09 18:30:00+00:00,12,6,6,0,16238.69,-6
2021-12-09 19:30:00+00:00,10,3,7,0,16171.67,-7
2021-12-09 20:30:00+00:00,17,1,16,0,16151.06,-16
2021-12-10 14:30:00+00:00,10,9,1,0,16291.08,-1
2021-12-10 15:30:00+00:00,23,9,14,0,16211.29,-14
2021-12-10 16:30:00+00:00,21,10,11,0,16244.72,-11
2021-12-10 17:30:00+00:00,23,10,13,0,16270.68,-13
2021-12-10 18:30:00+00:00,23,10,13,0,16263.06,-13
2021-12-10 19:30:00+00:00,30,8,22,0,16272.62,-22
