Datetime,Buy_Count,Sell_Count
2021-10-29 14:30:00+01:00,0,0
2021-10-29 15:30:00+01:00,0,0
2021-10-29 16:30:00+01:00,0,0
2021-10-29 17:30:00+01:00,0,0
2021-10-29 18:30:00+01:00,0,0
2021-10-29 19:30:00+01:00,0,0
2021-10-29 20:30:00+01:00,0,0
2021-11-01 13:30:00+00:00,0,0
2021-11-01 14:30:00+00:00,0,0
2021-11-01 15:30:00+00:00,0,0
2021-11-01 16:30:00+00:00,0,0
2021-11-01 17:30:00+00:00,0,0
2021-11-01 18:30:00+00:00,0,0
2021-11-01 19:30:00+00:00,3,30
2021-11-02 13:30:00+00:00,1,25
2021-11-02 14:30:00+00:00,3,24
2021-11-02 15:30:00+00:00,2,19
2021-11-02 16:30:00+00:00,5,20
2021-11-02 17:30:00+00:00,3,21
2021-11-02 18:30:00+00:00,2,23
2021-11-02 19:30:00+00:00,5,23
2021-11-03 13:30:00+00:00,2,23
2021-11-03 14:30:00+00:00,3,21
2021-11-03 15:30:00+00:00,2,21
2021-11-03 16:30:00+00:00,3,27
2021-11-03 17:30:00+00:00,4,31
2021-11-03 18:30:00+00:00,2,31
2021-11-03 19:30:00+00:00,0,32
2021-11-04 13:30:00+00:00,1,37
2021-11-04 14:30:00+00:00,3,25
2021-11-04 15:30:00+00:00,3,33
2021-11-04 16:30:00+00:00,4,36
2021-11-04 17:30:00+00:00,6,35
2021-11-04 18:30:00+00:00,5,29
2021-11-04 19:30:00+00:00,4,30
2021-11-05 13:30:00+00:00,7,49
2021-11-05 14:30:00+00:00,8,42
2021-11-05 15:30:00+00:00,8,41
2021-11-05 16:30:00+00:00,10,32
2021-11-05 17:30:00+00:00,6,34
2021-11-05 18:30:00+00:00,8,27
2021-11-05 19:30:00+00:00,7,25
2021-11-08 14:30:00+00:00,12,16
2021-11-08 15:30:00+00:00,11,24
2021-11-08 16:30:00+00:00,16,21
2021-11-08 17:30:00+00:00,12,19
2021-11-08 18:30:00+00:00,9,16
2021-11-08 19:30:00+00:00,10,16
2021-11-08 20:30:00+00:00,12,15
2021-11-09 14:30:00+00:00,12,8
2021-11-09 15:30:00+00:00,16,10
2021-11-09 16:30:00+00:00,14,10
2021-11-09 17:30:00+00:00,12,15
2021-11-09 18:30:00+00:00,14,12
2021-11-09 19:30:00+00:00,11,10
2021-11-09 20:30:00+00:00,12,11
2021-11-10 14:30:00+00:00,12,11
2021-11-10 15:30:00+00:00,18,15
2021-11-10 16:30:00+00:00,17,17
2021-11-10 17:30:00+00:00,27,13
2021-11-10 18:30:00+00:00,35,12
2021-11-10 19:30:00+00:00,33,8
2021-11-10 20:30:00+00:00,35,6
2021-11-11 14:30:00+00:00,17,5
2021-11-11 15:30:00+00:00,19,8
2021-11-11 16:30:00+00:00,21,6
2021-11-11 17:30:00+00:00,21,7
2021-11-11 18:30:00+00:00,19,8
2021-11-11 19:30:00+00:00,24,8
