Datetime,Position,Close,Signal-10 PnL,Short,Long,Capital,,Backtest,,
2021-11-02 13:30:00+00:00,Short,15959.21777,,0,0,15959.21777,,,,
2021-11-02 14:30:00+00:00,Long,15965.52832,-6.310546875,-6.310546875,0,15952.90723,,,Strat (+-10),NDQ
2021-11-02 15:30:00+00:00,Short,15951.66211,-13.86621094,0,-13.86621094,15939.04102,,2024,,
2021-11-02 16:30:00+00:00,Long,15945.34473,6.317382813,6.317382813,0,15945.3584,,2023,,
2021-11-02 17:30:00+00:00,Short,15931.26953,-14.07519531,0,-14.07519531,15931.2832,,2022,,
2021-11-02 18:30:00+00:00,Long,15964.7168,-33.44726563,-33.44726563,0,15897.83594,,2021,,
2021-11-02 19:30:00+00:00,Short,15973.69922,8.982421875,0,8.982421875,15906.81836,,Total PnL,0,0
2021-11-03 13:30:00+00:00,Long,15969.1875,4.51171875,4.51171875,0,15911.33008,,,,
2021-11-03 14:30:00+00:00,Short,15974.48047,5.29296875,0,5.29296875,15916.62305,,Long Only,Strat (+-10),NDQ
2021-11-03 15:30:00+00:00,Long,15990.89844,-16.41796875,-16.41796875,0,15900.20508,,2024,,
2021-11-03 16:30:00+00:00,Short,15990.54688,-0.3515625,0,-0.3515625,15899.85352,,2023,,
2021-11-03 17:30:00+00:00,Long,16026.00684,-35.45996094,-35.45996094,0,15864.39355,,2022,,
2021-11-03 18:30:00+00:00,Short,16110.43848,84.43164063,0,84.43164063,15948.8252,,2021,,
2021-11-09 14:30:00+00:00,Long,16248.27734,-137.8388672,-137.8388672,0,15810.98633,,Total PnL,0,0
2021-11-09 17:30:00+00:00,Short,16200.28613,-47.99121094,0,-47.99121094,15762.99512,,,,
2021-11-09 18:30:00+00:00,Long,16219.17676,-18.890625,-18.890625,0,15744.10449,,Short Only,Strat (+-10),NDQ
2021-11-10 16:30:00+00:00,Short,16129.98242,-89.19433594,0,-89.19433594,15654.91016,,2024,,
2021-11-10 17:30:00+00:00,Long,16061.67676,68.30566406,68.30566406,0,15723.21582,,2023,,
2021-11-12 15:30:00+00:00,Short,16186.36719,124.6904297,0,124.6904297,15847.90625,,2022,,
2021-11-18 14:30:00+00:00,Long,16335.31152,-148.9443359,-148.9443359,0,15698.96191,,2021,,
2021-11-18 16:30:00+00:00,Short,16488.94336,153.6318359,0,153.6318359,15852.59375,,Total PnL,0,0
2021-11-18 17:30:00+00:00,Long,16442.70703,46.23632813,46.23632813,0,15898.83008,,,,
2021-11-19 14:30:00+00:00,Short,16555.00781,112.3007813,0,112.3007813,16011.13086,,,,
2021-11-19 17:30:00+00:00,Long,16559.19531,-4.1875,-4.1875,0,16006.94336,,,,
2021-11-19 18:30:00+00:00,Short,16580.9707,21.77539063,0,21.77539063,16028.71875,,,,
2021-11-19 19:30:00+00:00,Long,16578.41602,2.5546875,2.5546875,0,16031.27344,,,,
2021-11-22 14:30:00+00:00,Short,16738.43164,160.015625,0,160.015625,16191.28906,,,,
2021-11-22 15:30:00+00:00,Long,16612.07227,126.359375,126.359375,0,16317.64844,,,,
2021-11-24 20:30:00+00:00,Short,16370.56055,-241.5117188,0,-241.5117188,16076.13672,,,,
2021-11-26 15:30:00+00:00,Long,16075.91895,294.6416016,294.6416016,0,16370.77832,,,,
2021-11-29 15:30:00+00:00,Short,16293.58594,217.6669922,0,217.6669922,16588.44531,,,,
2021-11-30 14:30:00+00:00,Long,16413.09961,-119.5136719,-119.5136719,0,16468.93164,,,,
2021-12-03 20:30:00+00:00,Short,15715.91016,-697.1894531,0,-697.1894531,15771.74219,,,,
