Datetime,Position,Close,PnL,Short,Long,Capital,,Backtest,,
2021-11-03 19:30:00+00:00,Short,16143.13379,0,0,0,16143.13,,,,
2021-11-10 18:30:00+00:00,Long,15944.99609,198.1376953,198.1376953,0,16341.2677,,,Strat (+-10),NDQ
2021-11-12 18:30:00+00:00,Short,16177.75391,232.7578125,0,232.7578125,16574.02551,,2024,1564.722656,2238.546875
2021-11-22 20:30:00+00:00,Long,16377.41309,-199.6591797,-199.6591797,0,16374.36633,,2023,71.37988281,5347.90332
2021-12-07 14:30:00+00:00,Short,16238.51758,-138.8955078,0,-138.8955078,16235.47082,,2022,5681.814453,-5130.693359
2021-12-10 19:30:00+00:00,Long,16272.61816,-34.10058594,-34.10058594,0,16201.37023,,2021,259.1552734,178.4208984
2021-12-16 14:30:00+00:00,Short,16178.20898,-94.40917969,0,-94.40917969,16106.96105,,Total PnL,7577.072266,2634.177734
2021-12-17 20:30:00+00:00,Long,15797.12402,381.0849609,381.0849609,0,16488.04602,,,,
2021-12-22 14:30:00+00:00,Short,16016.45898,219.3349609,0,219.3349609,16707.38098,,Long Only,Strat (+-10),NDQ
2021-12-31 20:30:00+00:00,Long,16321.55469,-305.0957031,-305.0957031,0,16402.28527,,2024,1740.515625,2238.546875
2022-01-12 14:30:00+00:00,Short,15990.55176,-331.0029297,0,-331.0029297,16071.28234,,2023,2709.641602,5347.90332
2022-01-13 19:30:00+00:00,Long,15587.93555,402.6162109,402.6162109,0,16473.89855,,2022,-55.44238281,-5130.693359
2022-01-26 16:30:00+00:00,Short,14509.74316,-1078.192383,0,-1078.192383,15395.70617,,2021,218.7880859,178.4208984
2022-01-26 20:30:00+00:00,Long,14168.89941,340.84375,340.84375,0,15736.54992,,Total PnL,4613.50293,2634.177734
2022-01-31 16:30:00+00:00,Short,14753.01953,584.1201172,0,584.1201172,16320.67004,,,,
2022-02-03 20:30:00+00:00,Long,14498.17773,254.8417969,254.8417969,0,16575.51184,,Short Only,Strat (+-10),NDQ
2022-02-09 14:30:00+00:00,Short,14913.82422,415.6464844,0,415.6464844,16991.15832,,2024,-336.9121094,2238.546875
2022-02-11 15:30:00+00:00,Long,14589.34375,324.4804688,324.4804688,0,17315.63879,,2023,-3188.769531,5347.90332
